"시점",전국,수도권,지방,서울,서울,서울,서울,서울,서울,광역시,광역시,광역시,광역시,광역시,광역시,세종,도,도,도,도,도,도,도,도,도
"시점",소계,소계,소계,서울,도심권,동북권,동남권,서북권,서남권,부산,대구,인천,광주,대전,울산,소계,경기,강원,충북,충남,전북,전남,경북,경남,제주
"2008. 05",233.4,337.9,131.5,501.6,653.0,478.6,731.9,473.2,483.9,151.9,162.1,276.6,114.7,155.9,161.9,-,314.9,109.2,116.1,134.0,107.7,91.9,104.6,134.8,111.5
"2008. 06",217.0,335.9,135.0,506.4,619.4,491.4,723.7,482.9,482.1,154.4,160.5,283.7,116.5,154.5,162.3,-,317.1,111.8,122.9,141.0,111.8,93.4,108.6,137.5,128.7
"2008. 07",185.6,330.3,133.1,508.4,610.9,485.4,702.4,483.6,484.1,150.2,159.6,286.1,116.8,152.0,160.5,-,310.6,112.9,122.5,141.7,111.8,90.0,106.8,141.2,120.4
"2008. 08",170.0,327.1,132.6,512.2,658.3,471.5,729.8,478.4,491.4,151.5,161.7,289.0,117.0,147.6,157.8,-,306.4,110.0,114.2,142.7,116.9,89.4,109.1,138.8,108.9
"2008. 09",156.9,323.7,129.8,516.0,594.5,476.6,699.6,464.8,500.3,149.7,154.9,292.5,117.4,148.9,153.0,-,303.3,105.3,113.3,142.4,101.9,90.3,103.5,141.4,120.6
"2008. 10",147.5,315.8,127.7,497.8,563.0,464.5,716.8,455.5,471.1,147.1,155.9,283.6,116.7,144.3,149.9,-,292.4,99.3,107.8,132.4,107.2,90.0,101.9,138.6,113.8
"2008. 11",153.3,333.4,127.3,544.8,618.0,434.0,779.2,447.2,505.3,146.7,153.2,298.4,115.2,150.7,156.1,-,305.9,97.7,113.8,129.8,107.2,94.5,101.8,134.8,119.6
"2008. 12",159.4,343.2,128.0,564.5,617.5,425.6,746.4,467.9,506.6,148.9,156.9,293.1,115.7,155.3,164.2,-,306.1,91.0,106.8,126.1,109.3,88.1,99.5,136.7,119.7
"2009. 01",215.4,376.8,134.2,597.4,642.1,439.0,764.2,434.8,567.0,151.9,153.0,282.8,120.8,158.4,162.2,-,331.3,106.6,120.1,141.7,115.0,93.1,106.2,149.2,117.0
"2009. 02",200.5,364.8,135.2,550.4,624.0,436.1,774.8,441.8,518.0,153.9,151.1,276.5,119.5,159.4,169.0,-,329.2,103.2,119.3,139.5,112.6,94.2,107.8,147.2,118.0
"2009. 03",193.1,350.3,134.3,546.2,616.6,435.1,810.8,474.2,498.1,156.9,153.0,271.3,117.2,158.5,157.9,-,313.4,105.0,116.8,129.5,109.5,95.1,108.3,142.7,131.4
"2009. 04",243.5,372.8,140.1,555.2,651.6,448.2,792.8,506.2,517.5,161.4,158.9,274.8,118.6,169.4,174.7,-,332.4,107.7,115.1,146.6,112.1,97.6,109.4,149.3,122.0
"2009. 05",228.5,353.6,141.4,529.7,631.8,451.8,808.2,504.5,504.3,162.6,157.1,275.3,122.6,170.5,177.8,-,316.9,108.6,123.4,136.8,114.9,94.2,114.9,152.9,137.9
"2009. 06",241.4,383.2,141.9,549.3,639.3,460.6,859.5,499.0,519.4,166.8,161.7,281.3,121.5,172.3,172.0,-,323.8,110.0,122.9,142.4,115.0,94.0,112.0,150.4,124.6
"2009. 07",235.4,374.7,144.5,542.9,659.6,461.8,826.3,507.8,522.0,176.2,160.7,282.5,124.0,175.3,176.5,-,325.1,105.6,128.9,142.6,117.0,95.9,111.4,153.4,136.7
"2009. 08",247.0,382.9,148.9,550.3,692.9,478.9,840.6,518.6,524.4,182.5,163.6,285.5,121.9,175.3,184.5,-,332.1,114.6,129.6,146.9,117.0,100.4,115.8,157.7,137.7
"2009. 09",218.1,361.7,147.8,529.5,717.3,476.2,817.2,500.5,508.5,177.0,164.0,284.5,124.6,175.3,175.1,-,319.1,114.8,127.3,140.4,123.1,101.2,118.4,157.2,130.0
"2009. 10",185.6,340.1,146.8,513.3,659.8,466.5,777.8,499.5,490.1,175.7,162.3,279.5,122.7,175.4,173.7,-,307.0,112.6,124.7,140.2,122.9,102.6,116.9,153.0,136.3
"2009. 11",181.5,344.8,147.3,518.6,680.7,464.6,794.1,490.3,500.1,179.8,160.5,276.3,123.7,179.0,175.3,-,307.0,109.6,129.4,139.1,125.5,105.9,117.2,157.7,145.4
