"시점",전국,수도권,지방,서울,서울,서울,서울,서울,서울,광역시,광역시,광역시,광역시,광역시,광역시,세종,도,도,도,도,도,도,도,도,도
"시점",소계,소계,소계,서울,도심권,동북권,동남권,서북권,서남권,부산,대구,인천,광주,대전,울산,소계,경기,강원,충북,충남,전북,전남,경북,경남,제주
"2016. 04",317.1,416.7,231.8,590.9,706.4,493.6,1011.9,569.0,558.0,304.6,297.7,306.0,230.6,250.4,300.3,212.1,359.1,192.8,200.0,199.1,170.4,151.3,172.1,237.0,337.3
"2016. 05",327.4,420.2,230.0,595.1,730.8,492.7,996.0,577.4,558.5,311.8,290.5,309.1,228.9,255.4,290.4,214.4,364.8,187.7,194.8,196.7,170.6,151.1,170.1,233.9,329.6
"2016. 06",343.0,433.0,238.1,593.1,739.3,496.6,932.2,592.7,576.5,319.0,300.6,314.0,228.6,259.7,294.2,311.7,375.5,197.2,196.5,201.3,181.7,149.9,168.4,235.3,335.9
"2016. 07",341.5,426.6,244.8,582.5,741.7,503.4,882.8,600.4,554.7,328.8,302.8,319.0,235.4,257.1,297.2,353.0,376.5,197.0,195.2,203.7,175.2,155.3,179.1,241.6,351.5
"2016. 08",335.6,424.2,247.1,598.6,756.2,506.8,923.6,614.6,575.8,334.4,311.9,317.2,241.2,263.7,303.9,342.1,374.4,195.7,201.3,205.2,183.7,155.9,177.3,247.2,367.6
"2016. 09",341.3,433.6,251.3,602.1,757.2,515.5,907.0,624.7,582.3,334.7,325.1,322.4,240.8,267.4,317.3,356.7,383.8,200.2,197.7,204.4,181.3,164.0,180.3,251.7,361.1
"2016. 10",338.0,435.4,258.5,608.1,759.6,525.5,895.5,641.6,583.5,338.6,319.7,330.1,247.9,272.0,318.7,370.8,384.4,198.7,206.9,205.9,191.3,167.4,188.3,256.7,360.4
"2016. 11",311.8,417.3,251.5,588.0,765.6,525.9,818.2,635.7,576.5,324.7,313.1,334.4,244.1,273.4,317.9,373.0,373.5,196.5,197.3,210.1,187.0,159.5,187.5,253.0,353.7
"2016. 12",303.0,409.8,245.5,592.0,752.7,519.6,941.5,630.6,570.6,327.5,306.8,332.7,250.0,268.4,306.9,353.0,365.1,194.0,204.1,204.7,188.5,159.3,179.6,249.3,371.5
"2017. 01",302.4,412.8,245.3,594.2,749.9,508.0,979.4,644.4,560.0,324.3,300.1,321.4,247.1,274.2,294.9,343.4,370.8,203.5,207.9,214.5,194.2,158.4,184.8,247.7,369.6
"2017. 02",305.9,419.2,241.9,610.5,814.3,520.8,991.1,633.1,582.8,325.4,301.8,320.2,240.1,261.5,306.1,336.5,367.9,202.2,194.6,203.8,191.5,163.6,181.7,241.9,356.7
"2017. 03",319.2,427.7,241.5,619.4,825.4,525.8,974.1,647.9,598.2,328.6,306.1,320.2,241.9,257.6,306.0,345.9,370.6,198.5,200.6,200.0,182.5,167.6,179.4,243.2,363.0
"2017. 04",335.7,450.2,241.7,651.9,826.1,538.7,1012.3,669.9,600.7,342.4,303.4,323.9,244.7,255.8,294.0,365.3,384.9,197.9,198.0,199.7,180.5,168.2,174.0,238.2,360.3
"2017. 05",371.3,490.2,247.1,684.4,829.6,548.1,1024.0,699.2,630.2,339.2,313.7,322.9,247.7,259.9,296.2,384.5,404.4,200.7,196.9,200.6,182.5,167.1,175.3,241.5,356.3
"2017. 06",364.5,464.8,255.2,633.4,804.4,551.1,985.4,681.1,616.0,341.7,334.1,334.0,248.8,264.6,300.2,394.3,403.9,204.6,199.0,203.2,179.6,169.7,176.6,241.5,371.1
"2017. 07",383.4,492.0,258.7,657.5,798.2,558.5,1036.9,698.5,637.9,336.5,352.3,338.3,251.2,268.7,301.7,396.1,412.0,202.7,201.3,208.2,181.0,175.7,186.5,240.8,366.7
"2017. 08",323.8,419.5,256.5,622.6,769.1,548.8,974.4,664.8,603.7,335.9,334.1,342.8,252.3,275.6,316.7,369.9,385.0,200.1,200.7,205.9,184.1,166.8,190.8,245.4,345.4
"2017. 09",333.0,446.2,250.7,687.9,845.4,569.8,1111.1,707.3,638.1,330.1,327.2,342.9,258.9,280.3,310.7,362.7,395.8,204.8,202.7,212.8,192.8,169.4,184.7,242.1,352.0
"2017. 10",334.1,454.4,250.2,706.0,848.3,571.0,1069.4,718.2,668.7,331.6,320.8,336.4,256.4,277.2,311.1,373.8,396.0,199.2,195.9,209.8,192.2,176.3,182.0,243.5,354.2
"2017. 11",340.6,481.8,250.5,749.7,866.6,591.0,1159.0,737.8,701.3,341.2,327.5,337.1,264.0,277.0,300.0,364.9,399.1,196.6,201.0,210.5,191.5,172.5,182.7,240.6,350.3
"2017. 12",359.2,523.7,255.3,753.8,916.7,606.1,1092.5,750.5,701.6,350.0,330.9,329.3,271.0,292.4,305.4,383.5,417.9,203.1,201.0,211.8,198.1,172.4,183.0,237.4,358.9
"2018. 01",391.0,550.7,251.8,733.5,865.9,595.2,1060.1,764.8,693.7,350.0,338.9,334.3,260.6,284.6,294.2,373.6,445.9,199.7,204.7,205.2,190.7,176.7,175.3,233.7,345.4
"2018. 02",376.2,503.6,258.0,670.3,851.2,587.9,993.1,724.0,663.9,352.4,347.9,336.4,267.1,278.7,291.1,415.5,435.5,201.9,201.9,209.4,190.2,172.6,178.1,234.2,362.8
"2018. 03",346.1,463.6,250.5,643.2,903.2,574.0,1015.5,682.6,645.4,342.2,334.7,335.8,258.9,279.8,298.7,412.7,409.7,197.8,194.8,198.3,190.3,173.4,176.7,230.8,359.2
"2018. 04",311.9,427.7,238.4,644.9,929.8,571.9,1059.1,682.1,635.5,316.2,328.0,323.7,261.4,271.5,287.2,408.9,387.2,196.0,189.9,200.1,183.5,161.7,166.7,225.4,333.3
"2018. 05",316.8,434.9,241.5,647.9,884.1,570.1,1041.9,686.9,651.0,319.2,328.4,331.0,259.2,267.3,268.3,416.0,389.0,195.1,183.8,196.6,179.2,177.3,166.7,229.5,350.1
"2018. 06",328.3,449.7,241.8,662.3,904.7,578.9,1061.2,706.5,671.5,325.3,325.0,331.3,262.4,276.7,291.8,394.9,399.2,191.7,190.4,196.6,186.7,175.2,173.2,219.7,348.3
"2018. 07",352.1,491.5,237.0,720.8,1000.1,600.7,1342.9,728.1,714.4,319.8,321.8,333.0,256.2,276.1,292.1,407.4,411.5,187.4,184.4,196.5,175.5,176.5,167.0,216.7,358.5
"2018. 08",437.7,545.1,249.9,736.4,995.4,610.1,1248.4,772.1,715.5,322.2,335.4,342.9,267.2,309.6,272.1,386.2,465.5,189.1,192.8,196.1,185.2,178.3,171.5,221.2,353.9
"2018. 09",380.7,460.1,262.2,734.4,972.3,643.6,1176.9,757.2,670.9,353.1,350.1,356.9,274.6,309.7,290.0,391.2,430.1,198.9,192.0,203.7,189.2,185.6,178.2,231.1,376.5
"2018. 10",318.6,408.7,252.1,718.2,885.2,659.8,1066.0,716.4,682.5,337.4,338.7,347.1,254.3,306.2,290.8,384.8,390.5,191.7,192.5,211.0,186.0,179.5,164.8,234.1,348.2
"2018. 11",299.5,393.0,245.9,719.0,976.4,643.5,1071.7,710.4,676.7,329.6,317.5,338.4,254.0,297.9,280.0,410.6,375.1,184.4,189.2,217.6,183.9,183.2,164.5,221.6,353.6
"2018. 12",294.6,383.4,238.9,707.8,925.1,652.3,1152.8,701.8,680.9,319.3,320.7,335.0,250.0,288.3,272.4,404.0,365.0,190.8,182.3,206.8,188.4,180.0,170.1,222.2,345.7
"2019. 01",283.7,372.2,235.6,708.6,911.7,641.5,1183.8,688.7,689.7,326.8,311.0,330.5,251.8,282.4,276.5,385.9,349.0,179.4,187.1,206.2,183.4,187.4,155.7,222.6,334.5
"2019. 02",273.3,361.5,231.3,728.2,1038.6,658.5,1193.1,755.3,690.6,322.9,300.1,322.5,244.8,272.5,264.3,378.5,341.7,179.0,183.4,202.5,177.2,183.7,148.4,223.6,329.8
"2019. 03",281.7,367.6,230.3,738.6,961.8,643.1,1470.7,763.5,667.8,329.6,306.2,324.1,243.3,268.8,271.2,375.5,342.7,177.1,176.7,206.3,174.1,175.2,163.6,223.5,319.4
"2019. 04",289.5,393.0,235.0,824.4,1089.1,670.6,1429.3,778.6,764.3,321.3,304.5,321.3,245.7,286.2,277.0,388.9,353.3,183.4,180.1,198.6,176.6,182.2,153.1,214.8,344.9
"2019. 05",306.2,438.1,240.1,910.9,1085.4,685.6,1537.4,883.8,836.7,331.1,310.9,324.6,247.5,289.4,281.4,390.1,373.6,176.9,176.5,207.0,176.4,186.0,162.0,222.3,331.5
"2019. 06",336.4,522.0,245.4,960.4,1141.8,719.3,1515.6,941.6,891.0,335.5,326.3,329.6,258.9,295.1,296.0,447.0,407.8,178.9,178.1,211.9,176.9,181.3,166.4,223.4,353.0
"2019. 07",354.6,561.6,251.8,933.5,1205.3,721.5,1443.0,972.7,867.3,335.4,323.8,334.5,253.3,300.4,300.5,436.8,424.0,173.4,176.6,212.4,181.5,179.0,175.5,233.8,366.2
"2019. 08",341.3,507.5,258.7,884.0,1150.4,742.1,1367.5,941.8,847.4,343.7,330.1,340.4,266.4,310.0,302.8,427.2,411.0,177.3,185.5,220.9,180.2,183.4,173.9,235.6,342.1
"2019. 09",347.2,516.7,259.0,921.4,1237.2,728.4,1459.0,966.0,836.4,351.9,337.2,346.9,268.7,306.3,308.1,441.3,414.1,182.2,195.2,228.3,182.2,180.8,180.4,226.8,347.5
"2019. 10",376.6,562.3,273.0,928.8,1171.1,750.9,1413.9,977.0,881.0,376.9,335.7,361.4,268.5,312.2,330.9,471.9,442.3,188.2,212.0,231.8,180.7,187.3,185.9,255.1,340.9
"2019. 11",402.8,562.7,304.3,935.7,1153.4,774.3,1400.5,997.8,887.7,431.8,355.5,380.2,272.0,328.0,327.6,508.9,460.9,191.7,233.5,250.7,196.3,188.0,194.2,266.1,362.5
"2019. 12",383.1,513.3,285.4,883.4,1159.1,749.9,1341.2,996.0,863.8,382.7,352.8,376.8,275.2,323.8,322.4,517.2,445.8,195.4,224.9,247.4,212.2,188.6,192.4,243.2,343.4
"2020. 01",372.9,476.5,273.2,809.8,1112.5,732.8,1176.2,887.1,817.1,366.7,347.1,389.8,283.5,305.4,324.6,443.5,430.7,193.4,207.3,229.0,198.4,198.1,194.3,246.0,356.6
"2020. 02",371.1,452.1,265.5,822.1,1138.7,740.9,1291.5,883.2,832.7,363.7,340.2,383.6,271.3,306.4,325.9,506.8,417.7,190.9,206.4,215.8,199.9,193.8,195.1,241.2,344.3
"2020. 03",328.0,411.7,245.9,803.1,1054.3,740.5,1279.0,838.0,802.2,348.2,324.2,347.0,268.8,297.7,315.5,492.8,380.4,187.5,193.7,208.4,180.3,190.9,166.9,230.8,329.5
"2020. 04",306.1,388.5,243.9,809.1,1095.7,732.1,1507.8,783.0,797.6,341.6,322.8,337.5,261.9,283.0,294.7,451.3,365.9,184.1,206.3,207.7,176.6,188.4,172.1,223.5,328.5
"2020. 05",330.2,435.7,266.6,904.3,1262.2,758.3,1571.0,905.8,871.8,354.9,331.9,348.2,270.4,319.2,325.7,514.1,400.1,190.9,255.7,220.8,184.5,194.8,202.7,240.0,343.4
"2020. 06",412.7,543.7,304.2,982.6,1260.6,826.5,1589.5,1010.2,961.2,432.1,360.6,365.9,287.9,370.9,367.2,630.5,452.6,211.4,216.7,253.1,205.0,203.7,216.9,298.9,359.6
"2020. 07",392.5,577.5,290.9,1010.2,1289.5,886.2,1473.7,1018.1,988.6,401.1,371.0,344.1,281.9,341.8,351.2,701.2,465.0,200.0,188.1,233.5,188.3,196.1,194.9,273.0,382.8
"2020. 08",351.6,512.5,278.9,1082.6,1428.9,956.3,1595.3,1088.1,1023.3,388.9,371.8,347.7,288.3,364.1,325.9,731.0,440.4,195.8,189.1,221.1,182.3,199.2,183.3,242.1,348.2
"2020. 09",346.9,486.7,288.3,1084.4,1349.0,967.9,1624.7,1059.0,1019.3,409.2,384.3,354.8,295.5,354.2,345.5,465.0,435.1,192.3,193.1,226.0,188.7,195.1,192.7,263.5,350.5
"2020. 10",365.7,486.7,314.8,1059.7,1409.7,941.5,1564.9,1090.4,1018.2,424.5,395.5,351.0,335.5,367.1,361.9,479.0,450.6,199.7,203.9,225.8,196.6,188.9,200.7,280.1,377.8
"2020. 11",367.5,550.2,315.1,1151.6,1416.9,1009.2,1807.4,1237.7,1078.2,366.5,395.2,375.4,350.7,410.0,350.8,547.2,494.4,203.8,241.7,247.2,202.5,200.1,250.2,293.3,371.9
"2020. 12",356.8,582.7,272.1,1209.1,1471.8,1044.3,1884.0,1236.6,1148.7,311.9,354.7,409.9,303.2,377.0,300.4,534.8,506.1,223.9,239.4,247.9,204.2,201.7,219.3,247.2,364.6
"2021. 01",353.4,552.7,254.3,1187.8,1415.6,1053.2,1883.0,1285.9,1135.0,329.1,335.4,406.0,272.5,377.0,279.8,472.5,488.6,222.0,241.4,223.6,174.5,193.2,198.3,237.5,343.4
"2021. 02",340.7,503.9,250.8,1161.4,1427.3,1024.0,1860.1,1185.1,1118.6,333.1,353.3,394.8,278.7,375.2,264.4,511.1,467.2,213.1,227.2,218.8,175.0,190.1,197.6,229.6,362.5
