"가구주교육정도별","가계수지항목별","항목","단위","2002. 1/4","2002. 2/4","2002. 3/4","2002. 4/4","2003. 1/4","2003. 2/4","2003. 3/4","2003. 4/4","2004. 1/4","2004. 2/4","2004. 3/4","2004. 4/4","2005. 1/4","2005. 2/4","2005. 3/4","2005. 4/4","2006. 1/4","2006. 2/4","2006. 3/4","2006. 4/4","2007. 1/4","2007. 2/4","2007. 3/4","2007. 4/4","2008. 1/4","2008. 2/4","2008. 3/4","2008. 4/4","2009. 1/4","2009. 2/4","2009. 3/4","2009. 4/4","2010. 1/4","2010. 2/4","2010. 3/4","2010. 4/4","2011. 1/4","2011. 2/4","2011. 3/4","2011. 4/4","2012. 1/4","2012. 2/4","2012. 3/4","2012. 4/4","2013. 1/4","2013. 2/4","2013. 3/4","2013. 4/4","2014. 1/4","2014. 2/4","2014. 3/4","2014. 4/4","2015. 1/4","2015. 2/4","2015. 3/4","2015. 4/4","2016. 1/4","2016. 2/4","2016. 3/4","2016. 4/4","2017. 1/4","2017. 2/4","2017. 3/4","2017. 4/4","2018. 1/4","2018. 2/4","2018. 3/4","2018. 4/4","2019. 1/4","2019. 2/4","2019. 3/4","2019. 4/4",
"전체 평균","　비경상소득","근로자가구","원","163924.526","128819.55","122659.02","110899.004","117457.843","104824.182","86869.809","101699.358","147419.165","74980.252","120929.511","105684.913","168443.262","83077.247","93545.149","120032.363","198827.161","120127.319","87639.857","151795.569","175328.69","98065.831","114748.008","155147.324","181151.892","132946.408","114183.194","140338.752","225858.386","124299.23","122458.995","150910.642","156905.726","139103.07","89791.265","107022.92","193369.315","117440.93","86196.043","117110.156","159698.8","125791.79","110335.569","114936.215","172971.008","116825.621","122233.722","135997.536","181926.323","116482.515","126195.413","126891.239","184399.684","177731.816","154218.714","128941.424","197027.321","117227.865","89664.387","95997.692","209219.159","79641.098","74592.9","76293.152","48131.463","32678.69","46985.939","17837.671","14978.41","18913.319","11961.654","15107.579",
"전체 평균","　비경상소득","근로자외가구","원","129882.888","105343.838","123268.938","106233.581","92229.735","72449.326","82691.041","96107.078","113583.951","88059.86","94510.593","96894.099","110917.814","138369.88","87324.393","131432.719","155655.075","103106.962","89310.412","157675.194","146847.179","112706.443","120463.76","148446.063","125816.923","104215.596","128445.689","104796.611","144500.743","92690.179","79133.057","129034.013","301383.29","117663.906","120121.214","127679.166","164499.98","158802.585","137461.1","93302.419","181989.241","162275.775","164206.784","123818.01","139057.558","118925.036","165969.162","105503.609","205685.878","123051.692","186810.196","137919.808","209338.153","121282.77","109905.091","128420.007","182717.367","114633.625","128077.334","106659.322","193730.679","187431.306","101078.086","92636.93","34015.857","50667.409","44009.605","62949.148","35077.883","26894.001","24440.81","29414.349",
"전체 평균","가계지출","전체가구","원","2155371.005","2071468.473","2120266.069","2046992.178","2209167.621","2165417.795","2246212.405","2243069.309","2404777.895","2253981.934","2368812.068","2331641.508","2506312.881","2338791.297","2473779.431","2411332","2612741.046","2447355.135","2520495.17","2594555.689","2719342.006","2538036.098","2707276.512","2658095.976","2910115.097","2707094.79","2856711","2743774.36","2833535.671","2692566.216","2853278.437","2899381.757","3066557.787","2912211.168","3054304.779","2989012.425","3202395.793","3022754.303","3218394.232","3105536.057","3400361.468","3149553.584","3310008.955","3180972.614","3382531.661","3186391.53","3354439.675","3277353.479","3520431.959","3280903.535","3440774.737","3279902.847","3534037.162","3308962.487","3431041.914","3338987.163","3543903.266","3324744.112","3452861.233","3272226.145","","","","","","","","","","","","",
"전체 평균","가계지출","근로자가구","원","2234828.387","2154558.852","2185269.176","2155537.694","2310421.166","2272289.921","2339895","2310173.159","2522902.397","2343332.762","2484543.916","2436627.482","2654248.756","2440265.128","2607140.392","2532624.03","2766193.182","2555992.169","2658198.206","2755277.879","2920947.705","2690525.471","2893369.499","2847596.462","3173303.4","2945181.081","3087325.487","2955033.467","3085471.438","2917512.172","3068918.125","3127579.631","3353815.606","3098989.352","3242120.45","3188382.605","3478855.821","3252807.477","3441076.722","3328727.302","3708930.366","3406214.507","3548905.372","3405259.286","3692791.747","3460330.231","3593149.565","3521303.517","3827278.738","3573999.099","3712278.083","3548144.607","3880046.683","3552480.257","3693149.362","3572897.367","3891465.006","3598435.123","3745064.573","3565393.58","","","","","","","","","","","","",
"전체 평균","가계지출","근로자외가구","원","2050986.424","1961053.051","2034851.246","1905433.495","2065442.839","2005854.811","2111469.811","2142953.837","2231579.839","2119302.856","2202396.129","2177152.401","2298119.11","2187739.696","2279981.99","2234597.997","2391300.28","2282728.883","2317844.302","2360148.559","2438255.772","2314559.074","2428548.874","2378144.413","2527250.149","2349001.658","2508586.931","2418539.251","2458496.887","2358189.51","2531014.26","2544619.245","2651115.422","2619493.368","2756706.448","2686087.356","2789839.329","2662863.951","2865224.666","2743792.297","2909844.369","2723719.652","2907645.175","2805769.975","2883763.684","2720726.697","2935480.162","2850009.489","3015263.186","2761879.554","2957939.878","2796720.194","2938138.377","2871910.434","2966232.76","2916871.592","2968937.78","2844379.834","2952003.147","2777012.127","","","","","","","","","","","","",
"전체 평균","소비지출","전체가구","원","1726217.433","1645787.51","1698680.123","1608049.135","1772322.357","1709308.279","1784792.118","1761811.397","1922914.373","1770439.939","1869925.145","1831415.782","2001640.144","1838264.85","1955052.652","1907449.548","2080385.928","1919647.516","1977889.682","2021056.978","2148669.795","1980764.543","2104012.485","2063327.127","2289136.485","2113564.634","2202927.634","2119257.837","2174283.182","2093894.553","2222221.975","2245138.85","2362584.661","2242168.995","2341232.133","2323805.159","2453625.892","2311503.205","2455377.824","2390264.538","2594492.641","2414478.567","2498887.338","2436242.655","2570947.48","2422836.44","2531056.334","2506486.77","2670414.396","2503280.467","2592622.239","2512401.518","2671786.864","2509635.912","2579562.747","2553139.62","2679824.03","2527773.364","2602301.83","2493221.539","","","","","","","","","","","","",
"전체 평균","소비지출","근로자가구","원","1755615.57","1683768.215","1719751.842","1663079.479","1818492.67","1761733.781","1821691.767","1781616.563","1980067.07","1807319.217","1917159.813","1880218.465","2078503.273","1877161.612","2025275.794","1966126.533","2162504.568","1968218.725","2050063.754","2102773.203","2259729.649","2061110.921","2211890.096","2161638.456","2443313.346","2253253.961","2338328.651","2237020.328","2325668.207","2227033.687","2353041.037","2373047.791","2531000.205","2343624.712","2451304.395","2442086.681","2611314.224","2443779.665","2576539.126","2522247.172","2770567.247","2570693.047","2635040.488","2567310.893","2750333.256","2590801.503","2674475.101","2650081.741","2838791.388","2676166.317","2757871.538","2665171.612","2875030.996","2640862.109","2731994.33","2675602.91","2882834.249","2679423.775","2771321.413","2655279.4","","","","","","","","","","","","",
"전체 평균","소비지출","근로자외가구","원","1687596.574","1595316.498","1670991.642","1536281.794","1706785.706","1631035.581","1731719.779","1732263.114","1839115.197","1714851.567","1802004.329","1759601.59","1893468.784","1780364.028","1853005.807","1821951.609","1961883.735","1846043.739","1871674.607","1901877.007","1993825.977","1863014.899","1942434.812","1918090.506","2064852.52","1903465.227","1998533.047","1937961.526","1948927.108","1895986.46","2026718.551","2046288.192","2119016.176","2083168.122","2166820.056","2144087.018","2218310.352","2104572.69","2263218.647","2176349.813","2314595.33","2155298.381","2269569.977","2216982.417","2282570.454","2137314.813","2279342.185","2254941.625","2393211.558","2197128.095","2298746.958","2237217.449","2321759.123","2274118.484","2309247.669","2332141.729","2343987.67","2261606.64","2312589.793","2219475.841","","","","","","","","","","","","",
"전체 평균","01.식료품 · 비주류음료","전체가구","원","248284.904","237903.816","276732.41","261759.932","247923.515","238237.886","278911.653","272110.295","261756.738","249855.486","304707.274","278407.245","273323.011","251067.528","296118.124","287113.425","280047.865","256466.892","276645.581","307500.212","277746.667","255005.413","303977.545","292305.662","295050.556","278680.876","329230.325","316597.243","289962.341","288886.17","315497.769","312885.303","299934.661","298264.706","345889.59","337344.722","325022.514","322158.186","368485.336","348801.599","344509.392","328636.881","384784.669","348585.576","339204.051","332845.643","374599.873","357455.238","344816.567","337096.242","370575.238","356271.435","352722.892","344012.5","378538.016","342268.623","349410.502","329150.9","365267.24","352557.33","","","","","","","","","","","","",
"전체 평균","01.식료품 · 비주류음료","근로자가구","원","242738.251","232839.411","268787.899","255000.19","245529.975","237012.826","275915.812","267795.051","261252.677","246952.376","299036.205","273597.301","272576.976","249323.342","292936.171","284485.066","280722.914","255503.716","274078.795","301107.324","277972.06","256453.16","303399.867","290937.913","299005.972","282423.804","327417.445","313688.084","295980.323","294170.611","318068.493","309061.395","305221.53","299539.97","344267.801","329895.66","328277.72","323441.106","364030.68","344983.657","351655.955","335105.978","387764.823","350059.131","349546.662","340737.261","383383.551","359002.865","354265.316","347205.733","377078.483","362058.56","362806.533","352376.437","385600.53","346524.447","358956.751","334908.493","371635.076","358194.859","","","","","","","","","","","","",
